artist_name,Artist_ID,Artist_Image_URL
Lost Kings,3hyEbRtp617pNCuuQjyOmc,https://i.scdn.co/image/ab6761610000e5eb1a66dd31ddba8483f6f877f3
DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,https://i.scdn.co/image/ab6761610000e5eb53ab08562b594332034c6aca
Chilly Gonzales,0qudezVgvl4Chd9BgNFB83,https://i.scdn.co/image/ab6761610000e5ebc300079c1c4a77e1ac925471
Diddy - Dirty Money,2QYEvpsWUOjqaYuxDPTCmV,https://i.scdn.co/image/184674b36baa9cc7f0048502e78ce615a35ba08f
Tank,6gjAbs229sNHhSskJpQ2mG,https://i.scdn.co/image/ab67616d0000b273dea2d7ef77ad8e3ec3739d23
JENNIE,250b0Wlc5Vk0CoUsaCY84M,https://i.scdn.co/image/ab6761610000e5ebcab652097be01bf194cdf11d
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,https://i.scdn.co/image/ab6761610000e5ebc2fb4b8e035fbdad27da865f
Sean K.,6S0dmVVn4udvppDhZIWxCr,https://i.scdn.co/image/ab6761610000e5ebee205e5029a04bd0460e16e4
C. Tricky Stewart,728pGpbVotlF0WU122hY7K,https://i.scdn.co/image/ab67706f00000002e2bb000dfdcbbcd03f0fe51e
Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,https://i.scdn.co/image/ab6761610000e5ebe0cf058473839f1c9f49937e
Sean Garrett,4aWpJudn4ljEWahx6cPEGu,https://i.scdn.co/image/ab6761610000e5eba0e1d2cab1a8f32ce2d8c5a6
OHGEESY,3ppQEG71r7jVpI8RudzycF,https://i.scdn.co/image/ab6761610000e5eba49f73d3a15c13d140f9862e
Ketchy the Great,6T4tcUkLcppayRBkcjXR0V,https://i.scdn.co/image/ab67616d0000b273ed1d210430d6e5e0417ef317
DJ Candlestick,0Ld26D4Ya5Od7ZZpLanfQJ,https://i.scdn.co/image/ab6761610000e5eb06ed9c3a24904467a25722ff
OG Ron C,2LQF8AgyQUgLfquM92Rx8N,https://i.scdn.co/image/ab6761610000e5ebc9528f0558dc175681013984
Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a
Brendon Urie,6eYFryfcEu3QSq59D62wZQ,https://i.scdn.co/image/ab6761610000e5eb5f32a5ef76b9480c601f256f
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,https://i.scdn.co/image/ab6761610000e5ebb256ae9a4b82bfff97776ae2
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,https://i.scdn.co/image/ab6761610000e5eb1a0c1f04c95539fd55ef0ebb
